排名,球员,球队,得分,命中率,三分命中率,罚球命中率,上场时间
1,乔尔-恩比德,76人,33.10,0.548,0.33,0.857,34.60
2,卢卡-东契奇,独行侠,32.40,0.496,0.342,0.742,36.20
3,达米安-利拉德,开拓者,32.20,0.463,0.371,0.914,36.30
4,谢伊-吉尔杰斯-亚历山大,雷霆,31.40,0.51,0.345,0.905,35.50
5,扬尼斯-阿德托昆博,雄鹿,31.10,0.553,0.275,0.645,32.10
6,杰森-塔特姆,凯尔特人,30.10,0.466,0.35,0.854,36.90
7,多诺万-米切尔,骑士,28.30,0.484,0.386,0.867,35.80
8,杰伦-布朗,凯尔特人,26.60,0.491,0.335,0.765,35.90
9,贾-莫兰特,灰熊,26.20,0.466,0.307,0.748,31.90
9,特雷-杨,老鹰,26.20,0.429,0.335,0.886,34.80
11,劳里-马尔卡宁,爵士,25.60,0.499,0.391,0.875,34.40
12,朱利叶斯-兰德尔,尼克斯,25.10,0.459,0.343,0.757,35.50
13,达龙-福克斯,国王,25.00,0.512,0.324,0.78,33.40
14,扎克-拉文,公牛,24.80,0.485,0.375,0.848,35.90
15,安东尼-爱德华兹,森林狼,24.60,0.459,0.369,0.756,36.00
16,德马尔-德罗赞,公牛,24.50,0.504,0.324,0.872,36.20
16,尼古拉-约基奇,掘金,24.50,0.632,0.383,0.822,33.70
18,帕斯卡尔-西亚卡姆,猛龙,24.20,0.48,0.324,0.774,37.40
19,杰伦-布伦森,尼克斯,24.00,0.491,0.416,0.829,35.00
20,克里斯塔普斯-波尔津吉斯,奇才,23.20,0.498,0.385,0.851,32.60
21,吉米-巴特勒,热火,22.90,0.539,0.35,0.85,33.40
22,杰伦-格林,火箭,22.10,0.416,0.338,0.786,34.20
23,凯尔登-约翰逊,马刺,22.00,0.452,0.329,0.749,32.70
24,克莱-汤普森,勇士,21.90,0.436,0.412,0.879,33.00
25,达里厄斯-加兰,骑士,21.60,0.462,0.41,0.863,35.50
25,博扬-波格丹诺维奇,活塞,21.60,0.488,0.411,0.884,32.10
27,德斯蒙德-贝恩,灰熊,21.50,0.479,0.408,0.883,31.70
28,凯尔-库兹马,奇才,21.20,0.448,0.333,0.73,35.00
29,安芬尼-西蒙斯,开拓者,21.10,0.447,0.377,0.894,35.00
29,特里-罗齐尔,黄蜂,21.10,0.415,0.327,0.809,35.30
31,詹姆斯-哈登,76人,21.00,0.441,0.385,0.867,36.80
32,CJ-麦科勒姆,鹈鹕,20.90,0.437,0.389,0.769,35.30
33,乔丹-克拉克森,爵士,20.80,0.444,0.338,0.816,32.60
34,杰拉米-格兰特,开拓者,20.50,0.475,0.401,0.813,35.70
34,德章泰-默里,老鹰,20.50,0.464,0.344,0.832,36.40
36,巴姆-阿德巴约,热火,20.40,0.54,0.083,0.806,34.60
36,乔丹-普尔,勇士,20.40,0.43,0.336,0.87,30.00
38,泰雷斯-马克西,76人,20.30,0.481,0.434,0.845,33.60
39,泰勒-希罗,热火,20.10,0.439,0.378,0.934,34.90
40,保罗-班切罗,魔术,20.00,0.427,0.298,0.738,33.80
40,贾马尔-默里,掘金,20.00,0.454,0.398,0.833,32.80
42,RJ-巴雷特,尼克斯,19.60,0.434,0.31,0.74,33.90
43,弗雷德-范弗利特,猛龙,19.30,0.393,0.342,0.898,36.70
43,朱-霍勒迪,雄鹿,19.30,0.479,0.384,0.859,32.60
45,小凯文-波特,火箭,19.20,0.442,0.366,0.784,34.30
46,多曼塔斯-萨博尼斯,国王,19.10,0.615,0.373,0.742,34.60
47,小贾伦-杰克逊,灰熊,18.60,0.506,0.355,0.788,28.40
47,弗朗茨-瓦格纳,魔术,18.60,0.485,0.361,0.842,32.60
49,迈尔斯-特纳,步行者,18.00,0.548,0.373,0.783,29.40
49,德安德烈-艾顿,太阳,18.00,0.589,0.292,0.76,30.40
